root,group,prob,fold,eax.par10,eax.par10.log1p,eax.pqr10,eax.pqr10.log1p,lkh.par10,lkh.par10.log1p,lkh.pqr10,lkh.pqr10.log1p,concorde.par10,concorde.par10.log1p,concorde.pqr10,concorde.pqr10.log1p
evolved1000,lkh---eax---simple,1000-384.tsp,7,99.514,4.610297021279888,35.1075,3.586500599993185,2.2487000000000004,1.1782549163203064,1.746999999999995,1.010509407113135,214.34070000000003,5.372221425055641,200.3185,5.304888231055844
evolved1000,lkh---eax---simple,1000-385.tsp,8,143.5944,4.97393258145053,73.6155,4.3123482604264485,1.545699999999996,0.9344056612993246,1.4710000000000099,0.9046229270064771,332.7613,5.810426066819204,312.5195,5.747861559095514
evolved1000,lkh---eax---simple,1000-386.tsp,9,91.16740000000001,4.523606488862988,51.106,3.9532801052763475,6.1224,1.9632447472773245,3.836999999999985,1.576294693840843,50.42290000000006,3.9400835985360247,47.471500000000106,3.880975996355951
evolved1000,lkh---eax---simple,1000-387.tsp,10,125.27080000000001,4.838428807060518,60.938500000000005,4.1261419572676425,1.793099999999992,1.0271520901172986,1.607999999999995,0.9585836440644047,1476.4356,7.298063161189867,1382.4875,7.232362764130147
evolved1000,lkh---eax---simple,1000-388.tsp,1,68.4421,4.2404933118303,36.4055,3.621817752431927,2.4720000000000284,1.2447307967981118,2.330499999999995,1.2031224428710956,102.41059999999997,4.638707471326845,96.9125,4.584074222693357
evolved1000,lkh---eax---simple,1000-389.tsp,2,90.34849999999999,4.514681862327952,84.0595,4.44335101160459,12.527900000000004,2.604754219493263,8.9875,2.301334311092393,1112.47,7.015236544259938,1066.959,6.973504629270136
evolved1000,lkh---eax---simple,1000-39.tsp,3,14.660199999999994,2.751122461873185,3.755499999999995,1.559301842940302,2.547800000000008,1.2663276930727045,1.5034999999999998,0.9176897527878624,303.84209999999996,5.719793937633918,305.4355,5.725007292773796
evolved1000,lkh---eax---simple,1000-390.tsp,4,87.3188,4.48095299547996,57.923,4.076231506795174,7.591599999999998,2.1507849817479707,5.8420000000000005,1.923080086555413,19.68339999999999,3.0293314461844023,18.17,2.9533465570575532
evolved1000,lkh---eax---simple,1000-391.tsp,5,113.04769999999999,4.736616781933449,92.8475,4.541671124425182,2.7553000000000036,1.3231681755001514,2.6325000000000003,1.289921116462301,352.21770000000004,5.867084580724462,340.6625,5.833823407708087
evolved1000,lkh---eax---simple,1000-392.tsp,6,42.395799999999994,3.7703626622298865,23.5435,3.2004470533997673,6.303499999999993,1.9883536853087274,2.98249999999999,1.381909762802064,193.73989999999998,5.271664822045292,205.58499999999998,5.3307119499839075
evolved1000,lkh---eax---simple,1000-393.tsp,7,51.0438,3.9520856717316857,28.695,3.3909786814678236,3.2444999999999995,1.4456240271958853,2.1925,1.1608043089245572,134.42980000000003,4.908453424888519,135.1975,4.914106038187185
evolved1000,lkh---eax---simple,1000-394.tsp,8,101.71280000000002,4.631936744027046,49.01950000000005,3.9124129293979144,1.13709999999999,0.7594497698140037,1.126499999999995,0.7544774357115487,126.09589999999999,4.84494191961059,130.46800000000002,4.878763475996771
evolved1000,lkh---eax---simple,1000-395.tsp,9,92.1092,4.533772997875556,63.314,4.163777336937438,3.9423000000000075,1.5978308098923493,3.016,1.390286382389428,976.6524999999999,6.88515428992137,955.297,6.863068534259705
evolved1000,lkh---eax---simple,1000-396.tsp,10,79.694,4.390664223069467,55.73650000000005,4.038417742599723,2.3407000000000027,1.2061803658679373,2.1430000000000202,1.145177757815437,45.88760000000006,3.8477532481703287,45.021,3.8290978140538803
evolved1000,lkh---eax---simple,1000-397.tsp,1,50.40100000000001,3.9396576275247868,31.8145,3.490870490875274,3.358699999999987,1.4721738477632627,3.895999999999995,1.5884185452100241,50.69479999999993,3.9453571961850544,53.61849999999995,4.000372653200497
evolved1000,lkh---eax---simple,1000-398.tsp,2,26.237699999999997,3.3046020430615863,20.1405,3.051190632007235,2.552100000000008,1.2675389778867865,2.2660000000000053,1.183565994548275,118.86390000000002,4.786356932461646,118.485,4.783190840480341
evolved1000,lkh---eax---simple,1000-399.tsp,3,250.2395,5.526406667455239,229.753,5.441347874381872,2.6364000000000023,1.2909941812655668,2.3049999999999997,1.1954364733036495,644.3924999999999,6.46985865885,664.2105,6.500103531920593
evolved1000,lkh---eax---simple,1000-4.tsp,4,39.0847,3.6909947153706137,39.786500000000004,3.708351144303531,7.790000000000006,2.1736147116970863,7.784000000000005,2.1729318847671757,475.7671,6.167028111692562,469.0825,6.152908211215074
evolved1000,lkh---eax---simple,1000-40.tsp,5,95.47530000000002,4.569287017032737,36.5595,3.6259263422173773,1.817699999999986,1.035920949328185,1.525999999999895,0.9266370239282578,169.23360000000002,5.137171611461646,162.7145,5.098124057119039
evolved1000,lkh---eax---simple,1000-400.tsp,6,52.04910000000001,3.9712178997888445,43.658,3.799033462605829,3.4705999999999984,1.4975226278055993,3.059,1.4009366378567607,571.8128,6.350558961765475,596.7545,6.3931801345409625
evolved1000,lkh---eax---simple,1000-401.tsp,7,69.63480000000001,4.257522940902127,52.0075,3.9704334129745686,2.1098999999999926,1.1345905713333424,1.8944999999999999,1.0628123845369222,167.5171,5.127037228322822,158.707,5.073340886445712
evolved1000,lkh---eax---simple,1000-402.tsp,8,62.38410000000001,4.149213041346917,41.469,3.748774398015474,1.206900000000004,0.7915888158719789,1.17550000000001,0.7772585231786024,78.41929999999999,4.374741411763482,73.299,4.308097492682939
evolved1000,lkh---eax---simple,1000-403.tsp,9,122.4778,4.8160613828247705,77.61,4.3644989178056655,1.9984000000000042,1.0980788130619674,1.8494999999999902,1.0471435402929137,49.40329999999999,3.9200566491243265,46.69550000000005,3.864837053821393
evolved1000,lkh---eax---simple,1000-404.tsp,10,51.898399999999995,3.96837309266015,55.729,4.038285543825453,9.188699999999994,2.32127926304116,6.938000000000015,2.0716613543608755,665.1326,6.501488749821893,636.0985000000001,6.456924274701212
evolved1000,lkh---eax---simple,1000-405.tsp,1,380.5227,5.944170350920264,285.59450000000004,5.658068324700511,3.962799999999981,1.6019700975865756,4.075499999999989,1.6244250422423465,246.70970000000003,5.512257496003096,251.52249999999998,5.531500353656343
